paper_id,pmid,pmcid,doi,title,pmc_access_status,pmc_parse_status,pdf_needed,pdf_import_status,normalized_path,notes
pmid-27803127,27803127,,10.1189/jlb.3RU0316-148RR,Phospholipases: at the crossroads of the immune system and the pathogenesis of HIV-1 infection.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-27795422,27795422,PMC5165201,10.1128/JVI.01552-16,Native Folding of a Recombinant gpE1/gpE2 Heterodimer Vaccine Antigen from a Precursor Protein Fused with Fc IgG.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-27665576,27665576,,10.1111/cmi.12673,Lipoprotein lipase liberates free fatty acids to inhibit HCV infection and prevent hepatic lipid accumulation.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-27659453,27659453,PMC5942362,10.1093/bioinformatics/btw610,Evolutionary conservation of Ebola virus proteins predicts important functions at residue level.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5942362.json,PMC XML downloaded and normalized.
pmid-27658966,27658966,PMC5224506,10.1093/nar/gkw834,ADAR1 restricts LINE-1 retrotransposition.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5224506.json,PMC XML downloaded and normalized.
pmid-27609828,27609828,PMC5531222,10.1136/gutjnl-2015-311289,Extracellular lipid-free apolipoprotein E inhibits HCV replication and induces ABCG1-dependent cholesterol efflux.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5531222.json,PMC XML downloaded and normalized.
pmid-27599826,27599826,PMC5167665,10.1016/j.jhep.2016.08.018,Continuous de novo generation of spatially segregated hepatitis C virus replication organelles revealed by pulse-chase imaging.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5167665.json,PMC XML downloaded and normalized.
pmid-27427332,27427332,,10.1016/j.jprot.2016.07.011,Proteomic analysis of the secretome of HepG2 cells indicates differential proteolytic processing after infection with dengue virus.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-27275775,27275775,PMC5331900,10.1080/21541248.2016.1189990,Guanylate binding protein 5: Impairing virion infectivity by targeting retroviral envelope glycoproteins.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/host_pathogen_shared_mechanisms_apms_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC5331900.json,PMC XML downloaded and normalized.
pmid-26245474,26245474,,10.2174/1389450116666150806123119,How Current Direct-Acting Antiviral and Novel Cell Culture Systems for HCV are Shaping Therapy and Molecular Diagnosis of Chronic HCV Infection?,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-29786989,29786989,,,Gallus gallus coxsackievirus and adenovirus receptor facilitates the binding of fowl adenovirus serotype 1 in chickens.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
