paper_id,pmid,pmcid,doi,title,pmc_access_status,pmc_parse_status,pdf_needed,pdf_import_status,normalized_path,notes
pmid-38861275,38861275,PMC11174093,10.1167/iovs.65.6.17,IGF2BP2 Maintains Retinal Pigment Epithelium Homeostasis by Stabilizing PAX6 and OTX2.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11174093.json,PMC XML downloaded and normalized.
pmid-38776375,38776375,PMC11145296,10.1073/pnas.2314619121,SUMO-specific protease 1 regulates germinal center B cell response through deSUMOylation of PAX5.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11145296.json,PMC XML downloaded and normalized.
pmid-38657865,38657865,PMC11130726,10.1016/j.jbc.2024.107312,PTIP UFMylation promotes replication fork degradation in BRCA1-deficient cells.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11130726.json,PMC XML downloaded and normalized.
pmid-38500398,38500398,PMC11296109,10.1111/acel.14144,"Stem cell secretome treatment improves whole-body metabolism, reduces adiposity, and promotes skeletal muscle function in aged mice.",available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC11296109.json,PMC XML downloaded and normalized.
pmid-37661017,37661017,,10.1016/j.neuroscience.2023.08.036,NEDD4 Like E3 Ubiquitin Protein Ligase Represses Astrocyte Activation and Aggravates Neuroinflammation in Mice with Depression via Paired Box 6 Ubiquitination.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-37147738,37147738,PMC10161651,10.1186/s40659-023-00432-7,NEDD4-1 deficiency impairs satellite cell function during skeletal muscle regeneration.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC10161651.json,PMC XML downloaded and normalized.
pmid-37116471,37116471,,10.1016/j.cell.2023.03.018,Regulation of Pax3 by Proteasomal Degradation of Monoubiquitinated Protein in Skeletal Muscle Progenitors.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-37028762,37028762,PMC10164895,10.1016/j.jbc.2023.104680,The ups and downs of Pax6 in neural stem cells.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC10164895.json,PMC XML downloaded and normalized.
pmid-36791914,36791914,PMC10011063,10.1016/j.jbc.2023.103020,Histone acetyltransferase KAT2A modulates neural stem cell differentiation and proliferation by inducing degradation of the transcription factor PAX6.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC10011063.json,PMC XML downloaded and normalized.
pmid-36395771,36395771,PMC9731406,10.1016/j.molcel.2022.10.025,"PAX3-FOXO1 coordinates enhancer architecture, eRNA transcription, and RNA polymerase pause release at select gene targets.",available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC9731406.json,PMC XML downloaded and normalized.
pmid-36064939,36064939,PMC9445070,10.1038/s41419-022-05219-4,The MBNL1/circNTRK2/PAX5 pathway regulates aerobic glycolysis in glioblastoma cells by encoding a novel protein NTRK2-243aa.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC9445070.json,PMC XML downloaded and normalized.
pmid-35920196,35920196,PMC9827955,10.3724/abbs.2022043,PHD3 inhibits cell proliferation through hydroxylation of PAX2 at proline 9.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC9827955.json,PMC XML downloaded and normalized.
pmid-35273362,35273362,PMC9433428,10.1038/s41418-022-00956-7,Genome-wide screening for deubiquitinase subfamily identifies ubiquitin-specific protease 49 as a novel regulator of odontogenesis.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC9433428.json,PMC XML downloaded and normalized.
pmid-35224872,35224872,PMC8883148,10.14814/phy2.15188,Does the early aldosterone-induced SGK1 play a role in early Kaliuresis?,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC8883148.json,PMC XML downloaded and normalized.
pmid-35145023,35145023,PMC8851542,10.1073/pnas.2101848119,A distinct role of STING in regulating glucose homeostasis through insulin sensitivity and insulin secretion.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC8851542.json,PMC XML downloaded and normalized.
pmid-34852207,34852207,,10.1152/ajpcell.00344.2021,Aerobic exercise and resistance exercise alleviate skeletal muscle atrophy through IGF-1/IGF-1R-PI3K/Akt pathway in mice with myocardial infarction.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-34301800,34301800,PMC7611449,10.1126/sciimmunol.abg5003,Pax5 regulates B cell immunity by promoting PI3K signaling via PTEN down-regulation.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC7611449.json,PMC XML downloaded and normalized.
pmid-33777928,33777928,PMC7990767,10.3389/fcell.2021.606403,c-Abl Kinase Is Required for Satellite Cell Function Through Pax7 Regulation.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC7990767.json,PMC XML downloaded and normalized.
pmid-33490904,33490904,PMC7811140,10.1016/j.isci.2020.101996,17-DMAG dually inhibits Hsp90 and histone lysine demethylases in alveolar rhabdomyosarcoma.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC7811140.json,PMC XML downloaded and normalized.
pmid-33355664,33355664,PMC8097303,10.1093/molbev/msaa331,Folding Stability of Pax9 Intronic G-Quadruplex Correlates with Relative Molar Size in Eutherians.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC8097303.json,PMC XML downloaded and normalized.
pmid-32967521,32967521,PMC8496716,10.1080/15548627.2020.1826716,Loss of PKD1/polycystin-1 impairs lysosomal activity in a CAPN (calpain)-dependent manner.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-32841355,32841355,,10.1210/clinem/dgaa584,Congenital Hypothyroidism Due to Truncating PAX8 Mutations: A Case Series and Molecular Function Studies.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-32826860,32826860,PMC7442823,10.1038/s41419-020-02848-5,"PAX6, modified by SUMOylation, plays a protective role in corneal endothelial injury.",available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC7442823.json,PMC XML downloaded and normalized.
pmid-32010341,32010341,PMC6966193,10.3892/etm.2019.8392,Regulation of immune response by S-1-propenylcysteine through autophagy-mediated protein degradation.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC6966193.json,PMC XML downloaded and normalized.
pmid-31980842,31980842,,10.1007/s00223-020-00661-y,Modulators of Fam210a and Roles of Fam210a in the Function of Myoblasts.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-31888889,31888889,,10.1158/0008-5472.CAN-19-1479,Aurora A Kinase Inhibition Destabilizes PAX3-FOXO1 and MYCN and Synergizes with Navitoclax to Induce Rhabdomyosarcoma Cell Death.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-31494105,31494105,,10.1016/j.cbi.2019.108813,"""Verteporfin exhibits anti-proliferative activity in embryonal and alveolar rhabdomyosarcoma cell lines"".",missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-31391550,31391550,,10.1038/s41388-019-0907-2,HBx regulates transcription factor PAX8 stabilization to promote the progression of hepatocellular carcinoma.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-31189662,31189662,PMC6602337,10.1242/bio.044974,Ubiquitin-mediated proteasome degradation regulates optic fissure fusion.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC6602337.json,PMC XML downloaded and normalized.
pmid-30720061,30720061,PMC6414167,10.3892/ijmm.2019.4086,Bioinformatic analysis of next‑generation sequencing data to identify dysregulated genes in fibroblasts of idiopathic pulmonary fibrosis.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_001/artifacts/fulltext_import/PMC_XML/normalized/PMC6414167.json,PMC XML downloaded and normalized.
pmid-30526042,30526042,,10.1096/fj.201801977R,Activating β-catenin/Pax6 axis negatively regulates osteoclastogenesis by selectively inhibiting phosphorylation of p38/MAPK.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
