paper_id,pmid,pmcid,doi,title,pmc_access_status,pmc_parse_status,pdf_needed,pdf_import_status,normalized_path,notes
pmid-42588596,42588596,PMC13465285,10.3390/cancers18152375,PAX3::FOXO1-Targeting PROTAC Induces Myogenic Differentiation of Fusion-Positive Rhabdomyosarcoma Cells.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13465285.json,PMC XML downloaded and normalized.
pmid-42342900,42342900,,10.1038/s41418-026-01789-4,Inhibition of Pax6 sumoylation suppresses the tumorigenicity of pancreatic cancer cells.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-42284071,42284071,PMC13348024,10.1021/acs.biochem.6c00040,PAX3-FOXO1 Contacts BRD4 through Its Acetylated Intrinsically Disordered Region.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC13348024.json,PMC XML downloaded and normalized.
pmid-41951061,41951061,,10.1016/j.mcp.2026.102070,ZMIZ1 promotes PAX6 ubiquitination through SMAD3 to drive the malignant progression of acute myeloid leukemia.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40834970,40834970,,10.1016/j.yexcr.2025.114709,Inhibition of HMGN2 SUMOylation ameliorates atherosclerosis by activating PAX5 expression to induce macrophage M2 polarization.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-40119193,40119193,,10.1038/s41590-025-02139-1,"Author Correction: Transcriptional function of E2A, Ebf1, Pax5, Ikaros and Aiolos analyzed by in vivo acute protein degradation in early B cell development.",missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-39256480,39256480,PMC11528059,10.1038/s41423-024-01213-2,Rack1 regulates B-cell development and function by binding to and stabilizing the transcription factor Pax5.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-39179932,39179932,,10.1038/s41590-024-01933-7,"Transcriptional function of E2A, Ebf1, Pax5, Ikaros and Aiolos analyzed by in vivo acute protein degradation in early B cell development.",missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-38861275,38861275,PMC11174093,10.1167/iovs.65.6.17,IGF2BP2 Maintains Retinal Pigment Epithelium Homeostasis by Stabilizing PAX6 and OTX2.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC11174093.json,PMC XML downloaded and normalized.
pmid-38776375,38776375,PMC11145296,10.1073/pnas.2314619121,SUMO-specific protease 1 regulates germinal center B cell response through deSUMOylation of PAX5.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC11145296.json,PMC XML downloaded and normalized.
pmid-37116471,37116471,,10.1016/j.cell.2023.03.018,Regulation of Pax3 by Proteasomal Degradation of Monoubiquitinated Protein in Skeletal Muscle Progenitors.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-37028762,37028762,PMC10164895,10.1016/j.jbc.2023.104680,The ups and downs of Pax6 in neural stem cells.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC10164895.json,PMC XML downloaded and normalized.
pmid-36791914,36791914,PMC10011063,10.1016/j.jbc.2023.103020,Histone acetyltransferase KAT2A modulates neural stem cell differentiation and proliferation by inducing degradation of the transcription factor PAX6.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC10011063.json,PMC XML downloaded and normalized.
pmid-35920196,35920196,PMC9827955,10.3724/abbs.2022043,PHD3 inhibits cell proliferation through hydroxylation of PAX2 at proline 9.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC9827955.json,PMC XML downloaded and normalized.
pmid-35766845,35766845,,10.1051/medsci/2022073,[PAX7 acetylation controls muscle stem cell self-renewal].,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-34428276,34428276,,10.1093/brain/awab134,Amyloid-β toxicity modulates tau phosphorylation through the PAX6 signalling pathway.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-34059674,34059674,PMC8167170,10.1038/s41467-021-23577-z,Acetylation of PAX7 controls muscle stem cell self-renewal and differentiation potential in mice.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC8167170.json,PMC XML downloaded and normalized.
pmid-33777928,33777928,PMC7990767,10.3389/fcell.2021.606403,c-Abl Kinase Is Required for Satellite Cell Function Through Pax7 Regulation.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC7990767.json,PMC XML downloaded and normalized.
pmid-33490904,33490904,PMC7811140,10.1016/j.isci.2020.101996,17-DMAG dually inhibits Hsp90 and histone lysine demethylases in alveolar rhabdomyosarcoma.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC7811140.json,PMC XML downloaded and normalized.
pmid-32826860,32826860,PMC7442823,10.1038/s41419-020-02848-5,"PAX6, modified by SUMOylation, plays a protective role in corneal endothelial injury.",available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC7442823.json,PMC XML downloaded and normalized.
pmid-31888889,31888889,,10.1158/0008-5472.CAN-19-1479,Aurora A Kinase Inhibition Destabilizes PAX3-FOXO1 and MYCN and Synergizes with Navitoclax to Induce Rhabdomyosarcoma Cell Death.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-31391550,31391550,,10.1038/s41388-019-0907-2,HBx regulates transcription factor PAX8 stabilization to promote the progression of hepatocellular carcinoma.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-30526042,30526042,,10.1096/fj.201801977R,Activating β-catenin/Pax6 axis negatively regulates osteoclastogenesis by selectively inhibiting phosphorylation of p38/MAPK.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-30636604,30636604,,10.2174/1566524019666190111153310,"Analysis of Non-Sumoylated and Sumoylated Isoforms of Pax-6, the Master Regulator for Eye and Brain Development in Ocular Cell Lines.",missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-29607880,29607880,,10.1266/ggs.17-00057,A novel nuclear localization signal spans the linker of the two DNA-binding subdomains in the conserved paired domain of Pax6.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-29317485,29317485,PMC6596271,10.1523/JNEUROSCI.1545-17.2017,"Meis1 Coordinates Cerebellar Granule Cell Development by Regulating Pax6 Transcription, BMP Signaling and Atoh1 Degradation.",available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-29205612,29205612,,10.1111/imb.12363,Homeodomain-interacting protein kinase phosphorylates the Drosophila Paired box protein 6 (Pax6) homologues Twin of eyeless and Eyeless.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-29079520,29079520,,10.1016/j.bbadis.2017.10.026,Zac1/GPR39 phosphorylating CaMK-II contributes to the distinct roles of Pax3 and Pax7 in myogenic progression.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-27555585,27555585,PMC5018744,10.1073/pnas.1600770113,Hedgehog-dependent E3-ligase Midline1 regulates ubiquitin-mediated proteasomal degradation of Pax6 during visual system development.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-27181361,27181361,,10.1016/j.bbrc.2016.05.067,PAX5 tyrosine phosphorylation by SYK co-operatively functions with its serine phosphorylation to cancel the PAX5-dependent repression of BLIMP1: A mechanism for antigen-triggered plasma cell differentiation.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-27144531,27144531,PMC4856311,10.1371/journal.pone.0154919,Ck2-Dependent Phosphorylation Is Required to Maintain Pax7 Protein Levels in Proliferating Muscle Progenitors.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC4856311.json,PMC XML downloaded and normalized.
pmid-26372689,26372689,PMC5473615,10.1002/stem.2190,Retinoic Acid Induces Ubiquitination-Resistant RIP140/LSD1 Complex to Fine-Tune Pax6 Gene in Neuronal Differentiation.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC5473615.json,PMC XML downloaded and normalized.
pmid-26329581,26329581,,10.1126/scisignal.aab1995,The E3 ligase APC/C(Cdh1) promotes ubiquitylation-mediated proteolysis of PAX3 to suppress melanocyte proliferation and melanoma growth.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-26304770,26304770,PMC4579044,10.1002/stem.2125,NEDD4 Regulates PAX7 Levels Promoting Activation of the Differentiation Program in Skeletal Muscle Precursors.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC4579044.json,PMC XML downloaded and normalized.
pmid-25025573,25025573,,10.1016/j.cellsig.2014.07.006,Ret finger protein mediates Pax7-induced ubiquitination of MyoD in skeletal muscle atrophy.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-24903325,24903325,PMC4150824,10.1111/pcmr.12277,"Phosphorylation of PAX3 contributes to melanoma phenotypes by affecting proliferation, invasion, and transformation.",available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC4150824.json,PMC XML downloaded and normalized.
pmid-24107448,24107448,PMC3858449,10.1158/1535-7163.MCT-13-0277,Small molecule inhibition of PAX3-FOXO1 through AKT activation suppresses malignant phenotypes of alveolar rhabdomyosarcoma.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC3858449.json,PMC XML downloaded and normalized.
pmid-23247248,23247248,PMC3628956,10.1007/s00018-012-1220-1,SUMOylation of Pax7 is essential for neural crest and muscle development.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-23058914,23058914,PMC3500634,10.1016/j.bbrc.2012.09.141,Identification of CK2 as the kinase that phosphorylates Pax3 at Ser209 in early myogenic differentiation.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC3500634.json,PMC XML downloaded and normalized.
pmid-22593617,22593617,,10.4049/jimmunol.1103039,B cell receptor-ERK1/2 signal cancels PAX5-dependent repression of BLIMP1 through PAX5 phosphorylation: a mechanism of antigen-triggering plasma cell differentiation.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-22330340,22330340,,10.1038/labinvest.2012.10,"Downregulation of microRNAs miR-1, -206 and -29 stabilizes PAX3 and CCND2 expression in rhabdomyosarcoma.",missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-22290434,22290434,PMC3302439,10.1128/MCB.06257-11,Phosphorylation of BRN2 modulates its interaction with the Pax3 promoter to control melanocyte migration and proliferation.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-22446594,22446594,,,Regulation of Pax7 protein levels by caspase-3 and proteasome activity in differentiating myoblasts.,missing,not_attempted,yes,missing,,No PMCID found via NCBI idconv; PDF fallback will be needed.
pmid-22216266,22216266,PMC3247257,10.1371/journal.pone.0029379,Pax3 stimulates p53 ubiquitination and degradation independent of transcription.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC3247257.json,PMC XML downloaded and normalized.
pmid-21440083,21440083,PMC3095663,10.1016/j.biocel.2011.03.010,Identification of serines 201 and 209 as sites of Pax3 phosphorylation and the altered phosphorylation status of Pax3-FOXO1 during early myogenic differentiation.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC3095663.json,PMC XML downloaded and normalized.
pmid-21357426,21357426,PMC3077615,10.1074/jbc.M110.176289,Histone acetyltransferase p300 acetylates Pax5 and strongly enhances Pax5-mediated transcriptional activity.,available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-21169561,21169561,PMC3038648,10.1091/mbc.E10-06-0541,Role of Pax3 acetylation in the regulation of Hes1 and Neurog2.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC3038648.json,PMC XML downloaded and normalized.
pmid-21145483,21145483,PMC3023311,10.1016/j.molcel.2010.09.029,Taf1 regulates Pax3 protein by monoubiquitination in skeletal muscle progenitors.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC3023311.json,PMC XML downloaded and normalized.
pmid-21084637,21084637,PMC3000302,10.1073/pnas.1007866107,"Sumoylation activates the transcriptional activity of Pax-6, an important transcription factor for eye and brain development.",available,unusable,yes,missing,,PMC XML body element is missing. Unusable PMC XML deleted from run artifacts.
pmid-20685816,20685816,PMC2995082,10.1093/nar/gkq683,Using protein design algorithms to understand the molecular basis of disease caused by protein-DNA interactions: the Pax6 example.,available,usable,no,not_attempted,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agenticWorkflow_LiteratureScreeningAndFullTextReview/runs/pax8_regulation_20260826/passes/pass_002/artifacts/fulltext_import/PMC_XML/normalized/PMC2995082.json,PMC XML downloaded and normalized.
