paper_id,pmid,doi,title,import_status,match_method,match_score,source_filename,staged_pdf_path,notes
pmid-33389015,33389015,10.1007/s00262-020-02799-y,Discovery of acquired molecular signature on immune checkpoint inhibitors in paired tumor tissues.,staged,doi,0.950,s00262-020-02799-y.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 33389015.pdf,PDF moved into workflow store as PMID 33389015.pdf for downstream parsing and normalization.
pmid-33213227,33213227,10.1080/17425255.2021.1844662,"A pharmacokinetic evaluation of alpelisib for the treatment of HR+, HER2-negative, PIK3CA-mutated advanced or metastatic breast cancer.",missing,,,,,No matching PDF found in the provided downloads directory.
pmid-32016810,32016810,10.1007/s12253-020-00796-1,mTOR in Lung Neoplasms.,staged,doi,0.950,s12253-020-00796-1.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 32016810.pdf,PDF moved into workflow store as PMID 32016810.pdf for downstream parsing and normalization.
pmid-31898183,31898183,10.1007/s10637-019-00889-y,A phase 2 clinical trial of the heat shock protein 90 (HSP 90) inhibitor ganetespib in patients with refractory advanced esophagogastric cancer.,staged,doi,0.950,s10637-019-00814-3.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 31898183.pdf,PDF moved into workflow store as PMID 31898183.pdf for downstream parsing and normalization.
pmid-31780379,31780379,10.1016/j.clbc.2019.06.017,Practical Treatment Strategies and Future Directions After Progression While Receiving CDK4/6 Inhibition and Endocrine Therapy in Advanced HR(+)/HER2(-) Breast Cancer.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-31754213,31754213,10.1038/s41388-019-1104-z,Distinct co-acquired alterations and genomic evolution during TKI treatment in non-small-cell lung cancer patients with or without acquired T790M mutation.,staged,doi,0.950,s41388-019-1104-z.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 31754213.pdf,PDF moved into workflow store as PMID 31754213.pdf for downstream parsing and normalization.
pmid-31506897,31506897,10.1007/s10637-019-00814-3,A phase Ib study of a PI3Kinase inhibitor BKM120 in combination with panitumumab in patients with KRAS wild-type advanced colorectal cancer.,staged,doi,0.950,s10637-019-00889-y.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 31506897.pdf,PDF moved into workflow store as PMID 31506897.pdf for downstream parsing and normalization.
pmid-31091374,31091374,10.1056/NEJMoa1813904,"Alpelisib for PIK3CA-Mutated, Hormone Receptor-Positive Advanced Breast Cancer.",staged,doi,0.950,NEJMoa1813904.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 31091374.pdf,PDF moved into workflow store as PMID 31091374.pdf for downstream parsing and normalization.
pmid-30720867,30720867,10.1002/ijc.32188,"Molecular alterations and poziotinib efficacy, a pan-HER inhibitor, in human epidermal growth factor receptor 2 (HER2)-positive breast cancers: Combined exploratory biomarker analysis from a phase II clinical trial of poziotinib for refractory HER2-positive breast cancer patients.",staged,author_year_journal,0.700,Intl Journal of Cancer - 2019 - Kim - Molecular alterations and poziotinib efficacy  a pan‐HER inhibitor  in human.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 30720867.pdf,PDF moved into workflow store as PMID 30720867.pdf for downstream parsing and normalization.
pmid-29850984,29850984,10.1007/s10549-018-4792-0,Phase I study of alpelisib (BYL-719) and trastuzumab emtansine (T-DM1) in HER2-positive metastatic breast cancer (MBC) after trastuzumab and taxane therapy.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-29683790,29683790,10.1200/JCO.2017.76.9992,Multicenter Phase IB Trial of Carboxyamidotriazole Orotate and Temozolomide for Recurrent and Newly Diagnosed Glioblastoma and Other Anaplastic Gliomas.,staged,title_overlap,0.615,omuro-et-al-2018-multicenter-phase-ib-trial-of-carboxyamidotriazole-orotate-and-temozolomide-for-recurrent-and-newly.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 29683790.pdf,PDF moved into workflow store as PMID 29683790.pdf for downstream parsing and normalization.
pmid-29550144,29550144,10.1016/j.abb.2018.03.015,miR-19b-3p inhibits breast cancer cell proliferation and reverses saracatinib-resistance by regulating PI3K/Akt pathway.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-29223745,29223745,10.1016/S1470-2045(17)30688-5,"Buparlisib plus fulvestrant in postmenopausal women with hormone-receptor-positive, HER2-negative, advanced breast cancer progressing on or after mTOR inhibition (BELLE-3): a randomised, double-blind, placebo-controlled, phase 3 trial.",missing,,,,,No matching PDF found in the provided downloads directory.
pmid-29110101,29110101,10.1007/s10147-017-1211-1,Histological transformation after acquired resistance to epidermal growth factor tyrosine kinase inhibitors.,staged,doi,0.950,s10147-021-01947-3.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 29110101.pdf,PDF moved into workflow store as PMID 29110101.pdf for downstream parsing and normalization.
pmid-28854070,28854070,10.1200/JCO.2017.73.3246,First-in-Human Phase I Study of the Tamoxifen Metabolite Z-Endoxifen in Women With Endocrine-Refractory Metastatic Breast Cancer.,staged,title_overlap,0.692,goetz-et-al-2017-first-in-human-phase-i-study-of-the-tamoxifen-metabolite-z-endoxifen-in-women-with-endocrine.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 28854070.pdf,PDF moved into workflow store as PMID 28854070.pdf for downstream parsing and normalization.
pmid-28782530,28782530,10.1016/j.lfs.2017.08.001,"Chemotherapeutics-resistance ""arms"" race: An update on mechanisms involved in resistance limiting EGFR inhibitors in lung cancer.",missing,,,,,No matching PDF found in the provided downloads directory.
pmid-28495808,28495808,10.1634/theoncologist.2016-0287,Comprehensive Genomic Profiling of Esthesioneuroblastoma Reveals Additional Treatment Options.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-28280620,28280620,10.21037/jgo.2017.01.14,"Potential actionable targets in appendiceal cancer detected by immunohistochemistry, fluorescent in situ hybridization, and mutational analysis.",missing,,,,,No matching PDF found in the provided downloads directory.
pmid-28256213,28256213,10.1016/j.pathol.2016.12.345,Update on molecular findings in rhabdomyosarcoma.,staged,doi,0.950,Pathology International - 2006 - Zhang - Immunohistochemical analysis of thyroid‐specific transcription factors in thyroid.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 28256213.pdf,PDF moved into workflow store as PMID 28256213.pdf for downstream parsing and normalization.
pmid-28188446,28188446,10.1007/s11523-017-0479-4,Treatment Options for EGFR T790M-Negative EGFR Tyrosine Kinase Inhibitor-Resistant Non-Small Cell Lung Cancer.,staged,doi,0.950,s11523-017-0479-4.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 28188446.pdf,PDF moved into workflow store as PMID 28188446.pdf for downstream parsing and normalization.
pmid-28108151,28108151,10.1016/j.eururo.2017.01.021,A Functional Genetic Screen Identifies the Phosphoinositide 3-kinase Pathway as a Determinant of Resistance to Fibroblast Growth Factor Receptor Inhibitors in FGFR Mutant Urothelial Cell Carcinoma.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-27576731,27576731,10.1093/jnci/djw182,IGF-1R and mTOR Blockade: Novel Resistance Mechanisms and Synergistic Drug Combinations for Ewing Sarcoma.,staged,doi,0.950,djw182.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 27576731.pdf,PDF moved into workflow store as PMID 27576731.pdf for downstream parsing and normalization.
pmid-27171498,27171498,10.1002/path.4743,Suppression of SPIN1-mediated PI3K-Akt pathway by miR-489 increases chemosensitivity in breast cancer.,staged,title_overlap,0.750,The Journal of Pathology - 2016 - Chen - Suppression of SPIN1‐mediated PI3K Akt pathway by miR‐489 increases.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 27171498.pdf,PDF moved into workflow store as PMID 27171498.pdf for downstream parsing and normalization.
pmid-26537074,26537074,,High selectivity of PI3Kβ inhibitors in SETD2-mutated renal clear cell carcinoma.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-26187428,26187428,10.1016/j.lungcan.2015.06.021,Emergence of RET rearrangement co-existing with activated EGFR mutation in EGFR-mutated NSCLC patients who had progressed on first- or second-generation EGFR TKI.,staged,doi,0.950,Emerging protein kinase inhibitors for non-small cell lung cancer.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 26187428.pdf,PDF moved into workflow store as PMID 26187428.pdf for downstream parsing and normalization.
pmid-26019172,26019172,10.1158/1078-0432.CCR-15-0211,Maintenance Treatment with Cetuximab and BAY86-9766 Increases Antitumor Efficacy of Irinotecan plus Cetuximab in Human Colorectal Cancer Xenograft Models.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-25724261,25724261,10.1016/j.lungcan.2015.01.023,Multiple resistant factors in lung cancer with primary resistance to EGFR-TK inhibitors confer poor survival.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-25641339,25641339,10.1016/j.canlet.2015.01.024,Genetic profiling of advanced radioactive iodine-resistant differentiated thyroid cancer and correlation with axitinib efficacy.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-25628917,25628917,,MYC-xing it up with PIK3CA mutation and resistance to PI3K inhibitors: summit of two giants in breast cancers.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-25453219,25453219,10.1016/j.jbior.2014.09.016,"Roles of signaling pathways in drug resistance, cancer initiating cells and cancer progression and metastasis.",missing,,,,,No matching PDF found in the provided downloads directory.
pmid-25285632,25285632,10.1016/j.bbrc.2014.09.129,An IL6-STAT3 loop mediates resistance to PI3K inhibitors by inducing epithelial-mesenchymal transition and cancer stem cell expansion in human breast cancer cells.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-24758538,24758538,10.2174/1568026614666140423121525,The Emerging Role of NRAS Mutations in Colorectal Cancer Patients Selected for Anti-EGFR Therapies.,staged,title_overlap,0.455,Optimizing treatment of metastatic colorectal cancer patients with anti-EGFR antibodies  overcoming the mechanisms of cancer cell resistance.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 24758538.pdf,PDF moved into workflow store as PMID 24758538.pdf for downstream parsing and normalization.
pmid-24735368,24735368,10.2174/0929867321666140414100127,Targeting drug-resistant prostate cancer with dual PI3K/mTOR inhibition.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-24663045,24663045,10.1200/JCO.2013.54.0518,Stand up to cancer phase Ib study of pan-phosphoinositide-3-kinase inhibitor buparlisib with letrozole in estrogen receptor-positive/human epidermal growth factor receptor 2-negative metastatic breast cancer.,staged,title_overlap,0.500,mayer-et-al-2014-stand-up-to-cancer-phase-ib-study-of-pan-phosphoinositide-3-kinase-inhibitor-buparlisib-with-letrozole.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 24663045.pdf,PDF moved into workflow store as PMID 24663045.pdf for downstream parsing and normalization.
pmid-24597478,24597478,10.1111/bph.12668,Increased drug resistance is associated with reduced glucose levels and an enhanced glycolysis phenotype.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-24566025,24566025,10.1016/j.pneumo.2013.12.005,[Therapeutic impact of molecular diagnosis in metastatic non-small cell lung cancer: targeted therapies in 2013].,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-24354593,24354593,10.1517/14728214.2014.873403,Emerging protein kinase inhibitors for non-small cell lung cancer.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-23948972,23948972,10.1158/1078-0432.CCR-13-0661,Identification of multiple mechanisms of resistance to vemurafenib in a patient with BRAFV600E-mutated cutaneous melanoma successfully rechallenged after progression.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-23940356,23940356,10.1073/pnas.1303204110,Mutant PIK3CA accelerates HER2-driven transgenic mammary tumors and induces resistance to combinations of anti-HER2 therapies.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-23664448,23664448,10.1016/j.lungcan.2013.02.021,Clinical perspective of afatinib in non-small cell lung cancer.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-23533233,23533233,10.1210/jc.2012-3933,Clinical outcomes and molecular profile of differentiated thyroid cancers with radioiodine-avid distant metastases.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-23478237,23478237,10.1016/j.molonc.2013.02.003,Genetically engineered mouse models of PI3K signaling in breast cancer.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-23341541,23341541,10.1182/blood-2012-10-460832,"P110α-mediated constitutive PI3K signaling limits the efficacy of p110δ-selective inhibition in mantle cell lymphoma, particularly with multiple relapse.",missing,,,,,No matching PDF found in the provided downloads directory.
pmid-23281932,23281932,10.1517/14712598.2012.756469,Optimizing treatment of metastatic colorectal cancer patients with anti-EGFR antibodies: overcoming the mechanisms of cancer cell resistance.,missing,,,,,No matching PDF found in the provided downloads directory.
pmid-23200321,23200321,10.1016/j.molonc.2012.11.001,Molecular phenotype predicts sensitivity of squamous cell carcinoma of the head and neck to epidermal growth factor receptor inhibition.,staged,title_overlap,0.571,Molecular Oncology - 2012 - Young - Molecular phenotype predicts sensitivity of squamous cell carcinoma of the head and.pdf,/Users/xingmeng/.openclaw/workspaces/staff-scientist-ideker/agent_LiteratureDueDiligence/runs/pi3k_alpha_inhibition_resistance_review_20260830/Phase1_PubmedCollection/passes/pass_002/artifacts/fulltext_import/PDF/PMID 23200321.pdf,PDF moved into workflow store as PMID 23200321.pdf for downstream parsing and normalization.
